timestamp,tokens_prompt,tokens_completion,total_tokens,latency_ms,estimated_cost_usd,model,question_preview
2025-11-03T08:57:18.880270,0,0,0,1780.97,0.0,gpt-4-nano,ERROR: I can't log into my account...
2025-11-03T08:58:15.366584,0,0,0,2612.54,0.0,gpt-5-nano,ERROR: I can't log into my account...
2025-11-03T09:28:34.357444,0,0,0,4149.86,0.0,gpt-3.5-turbo,ERROR: I can't log into my account...
2025-11-03T09:29:14.779068,0,0,0,2082.75,0.0,gpt-5-nano,ERROR: I can't log into my account...
2025-11-03T09:30:41.102228,0,0,0,2441.29,0.0,gpt-5-nano,ERROR: I can't log into my account...
2025-11-03T09:31:30.922273,0,0,0,1864.66,0.0,gpt-5-nano,ERROR: I can't log into my account...
2025-11-03T09:32:23.810254,0,0,0,6886.77,0.0,gpt-5-nano,ERROR: I can't log into my account...
2025-11-03T09:34:23.874305,0,0,0,4761.43,0.0,gpt-3.5-turbo,ERROR: I can't log into my account...
2025-11-03T09:34:53.905911,0,0,0,5021.87,0.0,gpt-3.5-turbo,ERROR: I can't log into my account...
2025-11-03T09:38:04.289307,0,0,0,6550.41,0.0,gpt-5-nano,ERROR: I can't log into my account...
2025-11-03T09:46:59.459727,750,500,1250,7603.04,0.2375,gpt-5-nano,I can't log into my account
2025-11-03T09:48:47.173478,748,500,1248,6121.28,0.2374,gpt-5-nano,Where is Costa Rica
